,Beta,Gini,Total,Group_probs,Group,Time Window Size
0,0.0,0.09493143541250783,0.21498977117138132,"{3: 0.2153647560268367, 5: 0.2150200930137252, 1: 0.20977430473568084, 8: 0.19176188119890594, 2: 0.20374577379848058, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
1,0.05,0.03481974517025279,0.216118712316703,"{3: 0.21464777576254643, 5: 0.22361127853934942, 1: 0.21919367922696678, 8: 0.22164167523289854, 2: 0.22573291765896916, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
2,0.1,0.035237659051092024,0.21717298588385034,"{3: 0.2157390536186492, 5: 0.22448526918006032, 1: 0.21948368838249768, 8: 0.2224805609120702, 2: 0.22724271304228524, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
3,0.15,0.035755054831729964,0.21988369737916214,"{3: 0.21833871080196002, 5: 0.2274630069752487, 1: 0.22432024672396822, 8: 0.22921951636236332, 2: 0.22900945565147618, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
4,0.2,0.035991369415151894,0.221627300737364,"{3: 0.22022437037129375, 5: 0.2287138282636488, 1: 0.22554480810291527, 8: 0.2274738387149272, 2: 0.23172329772271036, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
5,0.25,0.03584541238906179,0.22216971652523895,"{3: 0.2207902753845529, 5: 0.22917728809749072, 1: 0.2262342609214935, 8: 0.22746006513655206, 2: 0.23172329772271036, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
6,0.3,0.03594526811031761,0.22231869488307546,"{3: 0.2210043945634064, 5: 0.22888923778248457, 1: 0.22554480810291527, 8: 0.22871159791427043, 2: 0.23172329772271036, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
7,0.4,0.04636523731422687,0.22366107323549092,"{3: 0.22275447438264598, 5: 0.22814182493177484, 1: 0.22007050602335018, 8: 0.22727396082288473, 2: 0.25051013687854384, 0: 0.173646073431281, 4: 0.225895476811606}",PrimaryRace,30
8,0.5,0.05277969042702811,0.22779913921849335,"{3: 0.2249883972534999, 5: 0.24160081011291287, 1: 0.23765205351548457, 8: 0.24408680629274093, 2: 0.24476198605918525, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
9,0.6,0.05422639438515183,0.23448506674057318,"{3: 0.231017186159904, 5: 0.2516828934387602, 1: 0.24965632774295599, 8: 0.2516085721322641, 2: 0.2608049454175739, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
