,Beta,Gini,Total,Group_probs,Group,Time Window Size
0,0,0.09493143541250783,0.21498977117138132,"{3: 0.2153647560268367, 5: 0.2150200930137252, 1: 0.20977430473568084, 8: 0.19176188119890594, 2: 0.20374577379848058, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
1,10,0.09437679767376515,0.21509158660118155,"{3: 0.21433389831148345, 5: 0.22053839983083892, 1: 0.2023465025975561, 8: 0.20018309365925271, 2: 0.22304647276480324, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
2,25,0.08999200491709784,0.21839334694877136,"{3: 0.21730638634128285, 5: 0.2250817089960633, 1: 0.2126127388194605, 8: 0.20920999244137234, 2: 0.22905334368322783, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
3,50,0.08798192463911655,0.22016266731947123,"{3: 0.21912536261791932, 5: 0.226280437719166, 1: 0.21489419391572703, 8: 0.2144832051841056, 2: 0.23172655598773123, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
4,75,0.08859412775329917,0.22041286777635424,"{3: 0.21948043125421685, 5: 0.22583400091195713, 1: 0.21489419391572703, 8: 0.21591225625548732, 2: 0.23520921723292623, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
5,100,0.08769718879239345,0.22053246835796098,"{3: 0.21964517640360948, 5: 0.22568123438410076, 1: 0.21489371465222507, 8: 0.21660396101129445, 2: 0.23307055311722752, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
6,250,0.08758881353611707,0.22225290325764188,"{3: 0.2214787782443154, 5: 0.22672224491936088, 1: 0.21489371465222507, 8: 0.21929520508175102, 2: 0.2347190020801357, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
7,500,0.08576766752878427,0.2231304320353072,"{3: 0.22241148844780315, 5: 0.2272038143672954, 1: 0.21891362230709888, 8: 0.22093205794339318, 2: 0.23576507638743696, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
8,750,0.08499547694079737,0.22729355419088054,"{3: 0.22655209838551432, 5: 0.23153474591978343, 1: 0.22211645238197195, 8: 0.22475599266161295, 2: 0.23954906828530087, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
9,1000,0.08495961568730162,0.2273778412460685,"{3: 0.22664724327862124, 5: 0.23155692613980094, 1: 0.22211645238197195, 8: 0.22489364270726583, 2: 0.23954906828530087, 0: 0.121143340695492, 4: 0.258387896632793}",PrimaryRace,30
10,2500,0.10634708603903203,0.22694774786220143,"{3: 0.22610628486098122, 5: 0.23184763903716202, 1: 0.22211645238197195, 8: 0.22315601026592638, 2: 0.23954906828530087, 0: 0.0881280789559944, 4: 0.258387896632793}",PrimaryRace,30
11,5000,0.10509795268686124,0.2280195853416735,"{3: 0.2271754366131323, 5: 0.23289723061349216, 1: 0.22535369994866375, 8: 0.22443190302165028, 2: 0.24059514259260215, 0: 0.0881280789559944, 4: 0.258387896632793}",PrimaryRace,30
12,7500,0.10509390670242032,0.2280247027313763,"{3: 0.2271865340991808, 5: 0.2328701548387803, 1: 0.22535369994866375, 8: 0.22443190302165028, 2: 0.24059514259260215, 0: 0.0881280789559944, 4: 0.258387896632793}",PrimaryRace,30
13,10000,0.1050979642514305,0.2280420831499192,"{3: 0.22719985133573242, 5: 0.23291153302773848, 1: 0.22535369994866375, 8: 0.22443190302165028, 2: 0.24059514259260215, 0: 0.0881280789559944, 4: 0.258387896632793}",PrimaryRace,30
0,0,0.006530217843243372,0.21498977117138132,"{0: 0.21308307835811932, 1: 0.21872264929316554}",Gender,30
1,10,0.006460936546566026,0.21502640082518193,"{0: 0.21313970036338353, 1: 0.21872013839382465}",Gender,30
2,25,0.004231814604524413,0.21513244163520337,"{0: 0.21389786206828662, 1: 0.21754947232986507}",Gender,30
3,50,0.002404249975155957,0.215341399672715,"{0: 0.2146401404864284, 1: 0.2167143083321393}",Gender,30
4,75,0.0015257362417507385,0.21568698191550148,"{0: 0.21524150274842024, 1: 0.21655913049913367}",Gender,30
5,100,0.001120678028536292,0.2170972665987094,"{0: 0.21676800188570816, 1: 0.2177418932710758}",Gender,30
6,250,0.0004852993368615876,0.22145272966698049,"{0: 0.2213073438934763, 1: 0.22173736249789985}",Gender,30
7,500,0.00032097047100699297,0.2321652245184507,"{0: 0.23206442761469698, 1: 0.2323625623141086}",Gender,30
8,750,0.00017719684966568133,0.2535289578622273,"{0: 0.2534681964209594, 1: 0.2536479151757387}",Gender,30
9,1000,0.00013408874255571663,0.2578074904398163,"{0: 0.2577607362836973, 1: 0.25789902462155}",Gender,30
10,2500,0.00016963348812286242,0.27397165090709874,"{0: 0.27390879304717985, 1: 0.2740947125394923}",Gender,30
11,5000,0.00019751357152690744,0.2872962301744119,"{0: 0.28721948040423034, 1: 0.2874464890603582}",Gender,30
12,7500,0.0002578303870752926,0.289930235875342,"{0: 0.28982912571686564, 1: 0.29012818695369164}",Gender,30
13,10000,5.2780120543595836e-05,0.28688221280239967,"{0: 0.2869026892121844, 1: 0.2868421245713189}",Gender,30
0,0,0.10878083542854647,0.21498977117138132,"{0: 0.21557131467925916, 1: 0.2057922592675187, 8: 0.1629444354499616, 9: 0.12672491521047724}",Ethnicity,30
1,10,0.09481390178168066,0.21504207154288082,"{0: 0.21535324934115474, 1: 0.20758094140009234, 8: 0.19213599312728705, 9: 0.12672491521047724}",Ethnicity,30
2,25,0.01205035029850059,0.21521979047069997,"{0: 0.2153993717618704, 1: 0.2091830554874211, 8: 0.2029758185359186, 9: 0.2062623920758945}",Ethnicity,30
3,50,0.013853505198313026,0.2204050120548618,"{0: 0.22055510383362628, 1: 0.21511368973339887, 8: 0.21074178716175204, 9: 0.2062623920758945}",Ethnicity,30
4,75,0.014167828322677992,0.22041349184343717,"{0: 0.22057317990293657, 1: 0.2150545171836464, 8: 0.20972474934849802, 9: 0.2062623920758945}",Ethnicity,30
5,100,0.017202658257488988,0.22365242183367845,"{0: 0.223798598147744, 1: 0.2195881220186463, 8: 0.212847782893528, 9: 0.2062623920758945}",Ethnicity,30
6,250,0.03093729447904792,0.24043184358685468,"{0: 0.2406097610214293, 1: 0.23623055891256317, 8: 0.22668694376977894, 9: 0.2062623920758945}",Ethnicity,30
7,500,0.03363887915401377,0.24451030897736364,"{0: 0.24468786172426413, 1: 0.24008416249380923, 8: 0.2312606784880678, 9: 0.2062623920758945}",Ethnicity,30
8,750,0.03763579502157899,0.24945065229201344,"{0: 0.2496310080679448, 1: 0.24582595856155295, 8: 0.23492620479466575, 9: 0.2062623920758945}",Ethnicity,30
9,1000,0.038881160300209903,0.25164172855951483,"{0: 0.2518169088200131, 1: 0.24798209147871508, 8: 0.2378449469590098, 9: 0.2062623920758945}",Ethnicity,30
10,2500,0.05270770660509948,0.2762409961211222,"{0: 0.27633477732843653, 1: 0.2785909374744028, 8: 0.25983280907396217, 9: 0.3402513153334351}",Ethnicity,30
11,5000,0.030167083142546708,0.2506875613071377,"{0: 0.25089147382463406, 1: 0.24682763009869832, 8: 0.23340903991503964, 9: 0.21721917403736235}",Ethnicity,30
12,7500,0.05160577916568932,0.2782654539402399,"{0: 0.27836112904285343, 1: 0.28094834565728743, 8: 0.2612415736261978, 9: 0.3402513153334351}",Ethnicity,30
13,10000,0.05136959556644959,0.2776700380056273,"{0: 0.2777859744483586, 1: 0.27828625513652233, 8: 0.26114015284677006, 9: 0.3402513153334351}",Ethnicity,30
0,0,0.043970194785430086,0.21498977117138132,"{0: 0.21418130719670297, 1: 0.23138869828454398, 9: 0.2247661183209142, 8: 0.18478390942473433}",VeteranStatus,30
1,10,0.0510717332861932,0.21501071282038803,"{0: 0.21444806782938694, 1: 0.22632899226195338, 9: 0.23974732734396703, 8: 0.18478390942473433}",VeteranStatus,30
2,25,0.04599930513148184,0.21525601822905155,"{0: 0.214889371669032, 1: 0.22265497611520108, 9: 0.2347628341235858, 8: 0.18478390942473433}",VeteranStatus,30
3,50,0.04350382356135902,0.22783663453960928,"{0: 0.2277108998148158, 1: 0.2305210419202158, 9: 0.2347628341235858, 8: 0.18478390942473433}",VeteranStatus,30
4,75,0.06634528362631717,0.21694307739851212,"{0: 0.21667808171439473, 1: 0.22240963136252453, 9: 0.2347628341235858, 8: 0.16267406695736333}",VeteranStatus,30
5,100,0.07701222837749734,0.22374135191011454,"{0: 0.2236098598456753, 1: 0.22647459348265764, 9: 0.2503452113358472, 8: 0.16267406695736333}",VeteranStatus,30
6,250,0.010929090990035249,0.2373277233464701,"{0: 0.23723397871659443, 1: 0.23910093002397334, 9: 0.2503452113358472, 8: 0.242119634857397}",VeteranStatus,30
7,500,0.006716765887629569,0.24274002628572566,"{0: 0.24266021063457138, 1: 0.244297694502023, 9: 0.2503452113358472, 8: 0.242119634857397}",VeteranStatus,30
8,750,0.006805474963579154,0.2439049490636317,"{0: 0.2438059309130625, 1: 0.24586479773952682, 9: 0.2503452113358472, 8: 0.242119634857397}",VeteranStatus,30
9,1000,0.009082242560624933,0.24579999007370168,"{0: 0.24574401177081112, 1: 0.24688767864145494, 9: 0.253708319575007, 8: 0.242119634857397}",VeteranStatus,30
10,2500,0.020277445647392943,0.2544736279468909,"{0: 0.2544074840245209, 1: 0.2557537454575888, 9: 0.2692906967872684, 8: 0.242119634857397}",VeteranStatus,30
